,Class,Family,Genome Composition,Genus,Kingdom,Last Change,MSL of Last Change,Order,Phylum,Proposal for Last Change ,PubMed_Search,PubMed_Search_ln,Realm,Sort,Species,Subclass,Subfamily,Subgenus,Subkingdom,Suborder,Subphylum,Subrealm,Taxon History URL,Type Species?,family,genus,hits,hits_ln,number_of hosts,number_of hosts_x,number_of hosts_y,order,species,tax_id,tax_id_n,virus_name
10,,Flaviviridae,ssRNA(+),Flavivirus,,"Moved,",9.0,,,Ratification_1984.pdf,14,2.639128755635788,,2969.0,Kyasanur Forest disease virus,,,,,,,,ICTVonline=20183094,0.0,Flaviviridae,Flavivirus,70,4.2485095276616045,1,,,,Kyasanur Forest disease virus,172148,172148,Alkhurma virus
11,Ellioviricetes,Arenaviridae,ssRNA(+/-),Mammarenavirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,0,-6.907755278982137,,300.0,Allpahuayo mammarenavirus,,,,,,Polyploviricotina,,ICTVonline=20182570,0.0,Arenaviridae,Mammarenavirus,6,1.7919261220073759,0,,,Bunyavirales,Allpahuayo mammarenavirus,144752,144752,Allpahuayo mammarenavirus
12,,,,,,,,,,,4,1.3865443298750981,,,,,,,,,,,,,Arenaviridae,Mammarenavirus,8,2.079566533867987,3,,,Bunyavirales,Serra do Navio mammarenavirus,2169996,2169996,Amapari virus
13,,,,,,,,,,,11,2.3979861777572986,,,,,,,,,,,,,Hantaviridae,Orthohantavirus,37,3.610944939306028,5,,,Bunyavirales,Amur virus,86782,86782,Amur virus
14,Ellioviricetes,Hantaviridae,ssRNA(-),Orthohantavirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,2,0.6936470556015963,,355.0,Andes orthohantavirus,,,,,,Polyploviricotina,,ICTVonline=20180022,0.0,Hantaviridae,Orthohantavirus,460,6.131228663393821,0,,,Bunyavirales,Andes orthohantavirus,1980456,1980456,Andes orthohantavirus
15,Ellioviricetes,Peribunyaviridae,ssRNA(-),Orthobunyavirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,5,1.6096378924367667,,414.0,Anopheles A orthobunyavirus,,,,,,Polyploviricotina,,ICTVonline=20180092,0.0,Peribunyaviridae,Orthobunyavirus,4,1.3865443298750981,2,,,Bunyavirales,Anopheles A orthobunyavirus,35307,35307,Anopheles A virus
16,Ellioviricetes,Peribunyaviridae,ssRNA(-),Orthobunyavirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,0,-6.907755278982137,,415.0,Anopheles B orthobunyavirus,,,,,,Polyploviricotina,,ICTVonline=20180093,0.0,Peribunyaviridae,Orthobunyavirus,2,0.6936470556015963,1,,,Bunyavirales,Anopheles B orthobunyavirus,35308,35308,Anopheles B virus
17,,Flaviviridae,ssRNA(+),Flavivirus,,"Moved,",9.0,,,Ratification_1984.pdf,2,0.6936470556015963,,2946.0,Apoi virus,,,,,,,,ICTVonline=20183071,0.0,Flaviviridae,Flavivirus,17,2.833272165855592,7,,,,Apoi virus,64280,64280,Apoi virus
18,,,,,,,,,,,2,0.6936470556015963,,,,,,,,,,,,,Orthomyxoviridae,Thogotovirus,7,1.9460529959950605,1,,,Articulavirales,Araguari virus,352236,352236,Araguari virus
19,Monjiviricetes,Rhabdoviridae,ssRNA(-),Lyssavirus,,"Moved,",33.0,Mononegavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,15,2.7081168655467533,,214.0,Aravan lyssavirus,,,,,,Haploviricotina,,ICTVonline=20181722,0.0,Rhabdoviridae,Lyssavirus,3,1.09894556645823,0,,,Mononegavirales,Aravan lyssavirus,211977,211977,Aravan lyssavirus
20,Monjiviricetes,Rhabdoviridae,ssRNA(-),Lyssavirus,,"Moved,",33.0,Mononegavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,6,1.7919261220073759,,214.0,Aravan lyssavirus,,,,,,Haploviricotina,,ICTVonline=20181722,0.0,Rhabdoviridae,Lyssavirus,3,1.09894556645823,2,,,Mononegavirales,Aravan lyssavirus,211977,211977,Aravan virus
21,,Hepadnaviridae,dsDNA-RT,Orthohepadnavirus,,"Renamed,",23.0,,,ICTV 8th Report.pdf,2,0.6936470556015963,,3565.0,Ground squirrel hepatitis virus,,,,,,,,ICTVonline=20183652,0.0,Hepadnaviridae,Orthohepadnavirus,11,2.3979861777572986,1,,,,Ground squirrel hepatitis virus,41952,41952,Arctic squirrel hepatitis virus
22,,Flaviviridae,ssRNA(+),Flavivirus,,"New,",18.0,,,ICTV 7th Report.pdf,33,3.4965378640376557,,2947.0,Aroa virus,,,,,,,,ICTVonline=20183072,0.0,Flaviviridae,Flavivirus,23,3.135537693244867,2,,,,Aroa virus,64303,64303,Aroa virus
23,,,,,,,,,,,5,1.6096378924367667,,,,,,,,,,,,,Phenuiviridae,Phlebovirus,13,2.5650262775800314,4,,,Bunyavirales,Arumowot virus,904698,904698,Arumowot virus
24,,Herpesviridae,dsDNA,Simplexvirus,,"Renamed,",30.0,Herpesvirales,,2015.010aD.A.v2.Herpesvirales_spren.pdf,1,0.0009995003330834232,,1573.0,Ateline alphaherpesvirus 1,,Alphaherpesvirinae,,,,,,ICTVonline=20181425,0.0,Herpesviridae,Simplexvirus,3,1.09894556645823,1,,,Herpesvirales,Ateline alphaherpesvirus 1,35243,35243,Ateline herpesvirus 1
25,,Herpesviridae,dsDNA,Rhadinovirus,,"Renamed,",30.0,Herpesvirales,,2015.010aD.A.v2.Herpesvirales_spren.pdf,1,0.0009995003330834232,,1641.0,Ateline gammaherpesvirus 2,,Gammaherpesvirinae,,,,,,ICTVonline=20181506,0.0,Herpesviridae,Rhadinovirus,5,1.6096378924367667,1,,,Herpesvirales,Ateline gammaherpesvirus 2,10380,10380,Ateline herpesvirus 2
26,Monjiviricetes,Rhabdoviridae,ssRNA(-),Lyssavirus,,"Moved,",33.0,Mononegavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,92,4.5217994465551845,,215.0,Australian bat lyssavirus,,,,,,Haploviricotina,,ICTVonline=20181723,0.0,Rhabdoviridae,Lyssavirus,89,4.488647605624073,13,,,Mononegavirales,Australian bat lyssavirus,90961,90961,Australian bat lyssavirus
27,,Polyomaviridae,dsDNA,Betapolyomavirus,,"Renamed,Moved,",30.0,,,2015.015a-aaD.A.v2.Polyomaviridae_rev.pdf,309,5.733344513138463,,4152.0,Human polyomavirus 1,,,,,,,,ICTVonline=20184459,0.0,Polyomaviridae,Betapolyomavirus,3178,8.064007661759922,1,,,,Human polyomavirus 1,1891762,1891762,BK polyomavirus
28,,Reoviridae,dsRNA,Orthoreovirus,,"Moved,",25.0,,,2007.127-129V.v2.Spina-Sedoreovirinae.pdf,4,1.3865443298750981,,4582.0,Baboon orthoreovirus,,Spinareovirinae,,,,,,ICTVonline=20184971,0.0,Reoviridae,Orthoreovirus,21,3.0445700556372914,1,,,,Baboon orthoreovirus,75888,75888,Baboon orthoreovirus
29,,Flaviviridae,ssRNA(+),Flavivirus,,"Moved,",9.0,,,Ratification_1984.pdf,24,3.178095496146581,,2948.0,Bagaza virus,,,,,,,,ICTVonline=20183073,0.0,Flaviviridae,Flavivirus,25,3.218915824068222,5,,,,Bagaza virus,64290,64290,Bagaza virus
30,Ellioviricetes,Peribunyaviridae,ssRNA(-),Orthobunyavirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,2,0.6936470556015963,,416.0,Bakau orthobunyavirus,,,,,,Polyploviricotina,,ICTVonline=20180094,0.0,Peribunyaviridae,Orthobunyavirus,0,-6.907755278982137,2,,,Bunyavirales,Bakau orthobunyavirus,35309,35309,Bakau virus
31,,,,,,,,,,,0,-6.907755278982137,,,,,,,,,,,,,,,0,-6.907755278982137,1,,,,not_found,0,0,Bangui virus
32,,Reoviridae,dsRNA,Seadornavirus,,"Moved,",25.0,,,2007.127-129V.v2.Spina-Sedoreovirinae.pdf,32,3.4657671523114555,,4535.0,Banna virus,,Sedoreovirinae,,,,,,ICTVonline=20184915,1.0,Reoviridae,Seadornavirus,227,5.424954422758043,5,,,,Banna virus,77763,77763,Banna virus
33,,Flaviviridae,ssRNA(+),Flavivirus,,"Moved,",9.0,,,Ratification_1984.pdf,22,3.0910879068707438,,2949.0,Banzi virus,,,,,,,,ICTVonline=20183074,0.0,Flaviviridae,Flavivirus,5,1.6096378924367667,5,,,,Banzi virus,38837,38837,Banzi virus
34,,Togaviridae,ssRNA(+),Alphavirus,,"Moved,",12.0,,,ICTV 5th Report.pdf,91,4.5108704954674606,,4670.0,Barmah Forest virus,,,,,,,,ICTVonline=20185084,0.0,Togaviridae,Alphavirus,61,4.110890257481564,1,,,,Barmah Forest virus,11020,11020,Barmah Forest virus
35,,Togaviridae,ssRNA(+),Alphavirus,,"Moved,",12.0,,,ICTV 5th Report.pdf,91,4.5108704954674606,,4670.0,Barmah Forest virus,,,,,,,,ICTVonline=20185084,0.0,Togaviridae,Alphavirus,61,4.110890257481564,2,,,,Barmah Forest virus,11020,11020,Barmah forest virus
36,Monjiviricetes,Rhabdoviridae,ssRNA(-),Ledantevirus,,"Moved,",33.0,Mononegavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,3,1.09894556645823,,199.0,Barur ledantevirus,,,,,,Haploviricotina,,ICTVonline=20181707,0.0,Rhabdoviridae,Ledantevirus,3,1.09894556645823,1,,,Mononegavirales,Barur ledantevirus,380438,380438,Barur virus
37,Ellioviricetes,Peribunyaviridae,ssRNA(-),Orthobunyavirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,45,3.806684711745632,,422.0,Bunyamwera orthobunyavirus,,,,,,Polyploviricotina,,ICTVonline=20180100,1.0,Peribunyaviridae,Orthobunyavirus,104,4.64440051447976,0,,,Bunyavirales,Bunyamwera orthobunyavirus,80942,80942,Batai virus
38,Ellioviricetes,Hantaviridae,ssRNA(-),Orthohantavirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,0,-6.907755278982137,,358.0,Bayou orthohantavirus,,,,,,Polyploviricotina,,ICTVonline=20180025,0.0,Hantaviridae,Orthohantavirus,13,2.5650262775800314,0,,,Bunyavirales,Bayou orthohantavirus,1980459,1980459,Bayou orthohantavirus
39,Ellioviricetes,Hantaviridae,ssRNA(-),Orthohantavirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,12,2.4849899796493045,,358.0,Bayou orthohantavirus,,,,,,Polyploviricotina,,ICTVonline=20180025,0.0,Hantaviridae,Orthohantavirus,13,2.5650262775800314,5,,,Bunyavirales,Bayou orthohantavirus,1980459,1980459,Bayou virus
40,Ellioviricetes,Arenaviridae,ssRNA(+/-),Mammarenavirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,0,-6.907755278982137,,302.0,Bear Canyon mammarenavirus,,,,,,Polyploviricotina,,ICTVonline=20182572,0.0,Arenaviridae,Mammarenavirus,29,3.367330312150578,0,,,Bunyavirales,Bear Canyon mammarenavirus,192848,192848,Bear Canyon mammarenavirus
41,,Togaviridae,ssRNA(+),Alphavirus,,"New,",4.0,,,ICTV 2nd Report.pdf,2,0.6936470556015963,,4671.0,Bebaru virus,,,,,,,,ICTVonline=20185085,0.0,Togaviridae,Alphavirus,7,1.9460529959950605,1,,,,Bebaru virus,59305,59305,Bebaru virus
42,Ellioviricetes,Hantaviridae,ssRNA(-),Orthohantavirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,1,0.0009995003330834232,,355.0,Andes orthohantavirus,,,,,,Polyploviricotina,,ICTVonline=20180022,0.0,Hantaviridae,Orthohantavirus,4,1.3865443298750981,4,,,Bunyavirales,Andes orthohantavirus,69243,69243,Bermejo virus
43,Monjiviricetes,Rhabdoviridae,ssRNA(-),Ephemerovirus,,"Moved,",33.0,Mononegavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,2,0.6936470556015963,,177.0,Berrimah ephemerovirus,,,,,,Haploviricotina,,ICTVonline=20181683,0.0,Rhabdoviridae,Ephemerovirus,7,1.9460529959950605,1,,,Mononegavirales,Berrimah ephemerovirus,318834,318834,Berrimah virus
44,,,,,,,,,,,45,3.806684711745632,,,,,,,,,,,,,Phenuiviridae,Phlebovirus,18,2.8904273119085677,2,,,Bunyavirales,Bhanja virus,1213620,1213620,Bhanja virus
45,Ellioviricetes,Arenaviridae,ssRNA(+/-),Mammarenavirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,1,0.0009995003330834232,,334.0,Whitewater Arroyo mammarenavirus,,,,,,Polyploviricotina,,ICTVonline=20182602,0.0,Arenaviridae,Mammarenavirus,11,2.3979861777572986,0,,,Bunyavirales,Whitewater Arroyo mammarenavirus,466144,466144,Big brushy tank virus
46,Ellioviricetes,Peribunyaviridae,ssRNA(-),Orthobunyavirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,2,0.6936470556015963,,420.0,Bimiti orthobunyavirus,,,,,,Polyploviricotina,,ICTVonline=20180098,0.0,Peribunyaviridae,Orthobunyavirus,6,1.7919261220073759,4,,,Bunyavirales,Bimiti orthobunyavirus,1678224,1678224,Bimiti virus
47,Ellioviricetes,Hantaviridae,ssRNA(-),Orthohantavirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,0,-6.907755278982137,,359.0,Black Creek Canal orthohantavirus,,,,,,Polyploviricotina,,ICTVonline=20180026,0.0,Hantaviridae,Orthohantavirus,5,1.6096378924367667,0,,,Bunyavirales,Black Creek Canal orthohantavirus,1980460,1980460,Black Creek Canal orthohantavirus
48,,Reoviridae,dsRNA,Orbivirus,,"Moved,",25.0,,,2007.127-129V.v2.Spina-Sedoreovirinae.pdf,2039,7.620215261010824,,4502.0,Bluetongue virus,,Sedoreovirinae,,,,,,ICTVonline=20184879,1.0,Reoviridae,Orbivirus,6614,8.796944044736163,6,,,,Bluetongue virus,40051,40051,Bluetongue virus
49,,Flaviviridae,ssRNA(+),Pestivirus,,"Moved,",11.0,,,Ratification_1990.pdf,316,5.755745378138867,,3027.0,Pestivirus D,,,,,,,,ICTVonline=20183152,0.0,Flaviviridae,Pestivirus,249,5.5174569125209,5,,,,Pestivirus D,358764,358764,Border disease virus
50,,,,,,,,,,,729,6.59167510374983,,,,,,,,,,,,,Bornaviridae,,25,3.218915824068222,51,,,Mononegavirales,Borna disease virus,12455,12455,Borna disease virus
51,,Flaviviridae,ssRNA(+),Flavivirus,,"Moved,",9.0,,,Ratification_1984.pdf,1,0.0009995003330834232,,2950.0,Bouboui virus,,,,,,,,ICTVonline=20183075,0.0,Flaviviridae,Flavivirus,4,1.3865443298750981,4,,,,Bouboui virus,64295,64295,Bouboui virus
52,,Adenoviridae,dsDNA,Mastadenovirus,,"Renamed,",28.0,,,2013.003aV.A.v1.Adenoviridae_spren.pdf,1,0.0009995003330834232,,2425.0,Bovine mastadenovirus B,,,,,,,,ICTVonline=20182416,0.0,Adenoviridae,Mastadenovirus,51,3.9318452403752318,1,,,,Bovine mastadenovirus B,129950,129950,Bovine adenovirus B
53,,Adenoviridae,dsDNA,Mastadenovirus,,"Renamed,",28.0,,,2013.003aV.A.v1.Adenoviridae_spren.pdf,3,1.09894556645823,,2426.0,Bovine mastadenovirus C,,,,,,,,ICTVonline=20182417,0.0,Adenoviridae,Mastadenovirus,35,3.5553766325098297,1,,,,Bovine mastadenovirus C,129952,129952,Bovine adenovirus C
54,,Adenoviridae,dsDNA,Atadenovirus,,"Renamed,",28.0,,,2013.003aV.A.v1.Adenoviridae_spren.pdf,0,-6.907755278982137,,2394.0,Bovine atadenovirus D,,,,,,,,ICTVonline=20182390,0.0,Adenoviridae,Atadenovirus,58,4.060460251777099,1,,,,Bovine atadenovirus D,130499,130499,Bovine adenovirus D
55,,,,,,,,,,,1,0.0009995003330834232,,,,,,,,,,,,,Adenoviridae,Atadenovirus,12,2.4849899796493045,1,,,,Bovine adenovirus E,130500,130500,Bovine adenovirus E
56,,,,,,,,,,,24,3.178095496146581,,,,,,,,,,,,,Astroviridae,Mamastrovirus,222,5.402681886366639,1,,,,Bovine astrovirus,1435485,1435485,Bovine astrovirus
57,,Coronaviridae,ssRNA(+),Betacoronavirus,,"Moved,",33.0,Nidovirales,,2017.012_015S.A.v1.Nidovirales.zip,468,6.148470432667501,,1706.0,Betacoronavirus 1,,Orthocoronavirinae,Embecovirus,,Cornidovirineae,,,ICTVonline=20181861,0.0,Coronaviridae,Betacoronavirus,915,6.818925158171099,1,,,Nidovirales,Betacoronavirus 1,11128,11128,Bovine coronavirus
58,,Caliciviridae,ssRNA(+),Norovirus,,"Moved,",20.0,,,Ratification_2002a.pdf,0,-6.907755278982137,,2775.0,Norwalk virus,,,,,,,,ICTVonline=20182806,1.0,Caliciviridae,Norovirus,134,4.897847262609633,1,,,,Norwalk virus,206156,206156,Bovine enteric calicivirus strain NB
59,Monjiviricetes,Rhabdoviridae,ssRNA(-),Ephemerovirus,,"Moved,",33.0,Mononegavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,121,4.795798810025401,,178.0,Bovine fever ephemerovirus,,,,,,Haploviricotina,,ICTVonline=20181684,1.0,Rhabdoviridae,Ephemerovirus,322,5.774554651129648,1,,,Mononegavirales,Bovine fever ephemerovirus,11303,11303,Bovine ephemeral fever virus
60,,Retroviridae,ssRNA-RT,Bovispumavirus,,"New,",32.0,Ortervirales,,2017.006D.A.v2.Spumaretrovirinae_4gen.zip,33,3.4965378640376557,,1948.0,Bovine foamy virus,,Spumaretrovirinae,,,,,,ICTVonline=20185039,1.0,Retroviridae,Bovispumavirus,41,3.713596456650773,1,,,Ortervirales,Bovine foamy virus,207343,207343,Bovine foamy virus
61,,Herpesviridae,dsDNA,Varicellovirus,,"Renamed,",30.0,Herpesvirales,,2015.010aD.A.v2.Herpesvirales_spren.pdf,1184,7.076654660038189,,1585.0,Bovine alphaherpesvirus 1,,Alphaherpesvirinae,,,,,,ICTVonline=20181440,0.0,Herpesviridae,Varicellovirus,524,6.2614935927161675,7,,,Herpesvirales,Bovine alphaherpesvirus 1,10320,10320,Bovine herpesvirus 1
62,,Herpesviridae,dsDNA,Simplexvirus,,"Renamed,",30.0,Herpesvirales,,2015.010aD.A.v2.Herpesvirales_spren.pdf,30,3.4012307144399454,,1574.0,Bovine alphaherpesvirus 2,,Alphaherpesvirinae,,,,,,ICTVonline=20181426,0.0,Herpesviridae,Simplexvirus,33,3.4965378640376557,5,,,Herpesvirales,Bovine alphaherpesvirus 2,10295,10295,Bovine herpesvirus 2
63,,Herpesviridae,dsDNA,Rhadinovirus,,"Renamed,",30.0,Herpesvirales,,2015.010aD.A.v2.Herpesvirales_spren.pdf,174,5.159061046324451,,1643.0,Bovine gammaherpesvirus 4,,Gammaherpesvirinae,,,,,,ICTVonline=20181508,0.0,Herpesviridae,Rhadinovirus,316,5.755745378138867,6,,,Herpesvirales,Bovine gammaherpesvirus 4,10385,10385,Bovine herpesvirus 4
64,,Herpesviridae,dsDNA,Varicellovirus,,"Renamed,",30.0,Herpesvirales,,2015.010aD.A.v2.Herpesvirales_spren.pdf,61,4.110890257481564,,1586.0,Bovine alphaherpesvirus 5,,Alphaherpesvirinae,,,,,,ICTVonline=20181441,0.0,Herpesviridae,Varicellovirus,145,4.976740638948518,1,,,Herpesvirales,Bovine alphaherpesvirus 5,35244,35244,Bovine herpesvirus 5
65,,Retroviridae,ssRNA-RT,Deltaretrovirus,,"New,",32.0,Ortervirales,,2017.013D.A.v1.Ortervirales.zip,1198,7.0884096133995875,,1913.0,Bovine leukemia virus,,Orthoretrovirinae,,,,,,ICTVonline=20184998,1.0,Retroviridae,Deltaretrovirus,1889,7.543803396881994,2,,,Ortervirales,Bovine leukemia virus,11901,11901,Bovine leukemia virus
66,,Caliciviridae,ssRNA(+),Norovirus,,"Moved,",20.0,,,Ratification_2002a.pdf,0,-6.907755278982137,,2775.0,Norwalk virus,,,,,,,,ICTVonline=20182806,1.0,Caliciviridae,Norovirus,1,0.0009995003330834232,1,,,,Norwalk virus,568153,568153,Bovine norovirus-CH126
67,,Caliciviridae,ssRNA(+),Norovirus,,"Moved,",20.0,,,Ratification_2002a.pdf,0,-6.907755278982137,,2775.0,Norwalk virus,,,,,,,,ICTVonline=20182806,1.0,Caliciviridae,Norovirus,1,0.0009995003330834232,1,,,,Norwalk virus,568153,568153,Bovine norovirus-Jena
68,,Papillomaviridae,dsDNA,Deltapapillomavirus,,"New,",32.0,,,2017.010D.A.v1.Papillomaviridae_2subf.zip,56,4.02536954771857,,3760.0,Deltapapillomavirus 4,,Firstpapillomavirinae,,,,,,ICTVonline=20184003,0.0,Papillomaviridae,Deltapapillomavirus,515,6.244168842409424,4,,,,Deltapapillomavirus 4,337052,337052,Bovine papillomavirus 1
69,,Papillomaviridae,dsDNA,Xipapillomavirus,,"New,",32.0,,,2017.010D.A.v1.Papillomaviridae_2subf.zip,1,0.0009995003330834232,,3860.0,Xipapillomavirus 1,,Firstpapillomavirinae,,,,,,ICTVonline=20184133,1.0,Papillomaviridae,Xipapillomavirus,91,4.5108704954674606,1,,,,Xipapillomavirus 1,10561,10561,Bovine papillomavirus 3
70,,Papillomaviridae,dsDNA,Epsilonpapillomavirus,,"New,",32.0,,,2017.010D.A.v1.Papillomaviridae_2subf.zip,1,0.0009995003330834232,,3791.0,Epsilonpapillomavirus 1,,Firstpapillomavirinae,,,,,,ICTVonline=20184051,1.0,Papillomaviridae,Epsilonpapillomavirus,27,3.295873902355512,1,,,,Epsilonpapillomavirus 1,40537,40537,Bovine papillomavirus 5
71,,Poxviridae,dsDNA,Parapoxvirus,,"Renamed,",14.0,,,ICTV 6th Report.pdf,50,3.9120430052281487,,4458.0,Bovine papular stomatitis virus,,Chordopoxvirinae,,,,,,ICTVonline=20184779,0.0,Poxviridae,Parapoxvirus,73,4.2904731396847025,3,,,,Bovine papular stomatitis virus,129727,129727,Bovine papular stomatitis virus
72,Monjiviricetes,Paramyxoviridae,ssRNA(-),Respirovirus,,"Moved,",33.0,Mononegavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,34,3.52638993594835,,127.0,Bovine respirovirus 3,,,,,,Haploviricotina,,ICTVonline=20181621,0.0,Paramyxoviridae,Respirovirus,302,5.710430328627665,2,,,Mononegavirales,Bovine respirovirus 3,11215,11215,Bovine parainfluenza virus 3
73,,Parvoviridae,ssDNA(+/-),Bocaparvovirus,,"New,",28.0,,,2013.001a-aaaV.A.v4.Parvoviridae.pdf,109,4.691357056498987,,3968.0,Ungulate bocaparvovirus 1,,Parvovirinae,,,,,,ICTVonline=20184249,1.0,Parvoviridae,Bocaparvovirus,15,2.7081168655467533,1,,,,Ungulate bocaparvovirus 1,10784,10784,Bovine parvovirus
74,,Polyomaviridae,dsDNA,,,"Renamed,Moved,",30.0,,,2015.015a-aaD.A.v2.Polyomaviridae_rev.pdf,33,3.4965378640376557,,4188.0,Bos taurus polyomavirus 1,,,,,,,,ICTVonline=20184493,0.0,Polyomaviridae,,44,3.784212360932728,1,,,,Bos taurus polyomavirus 1,1891754,1891754,Bovine polyomavirus
